[COT 2021-04-17 14:08:41] 76561198036774377: Set GodMode To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-04-17 14:08:41] 76561198036774377: Set UnlimitedAmmo To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-04-17 14:08:41] 76561198036774377: Set UnlimitedStamina To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-04-17 14:08:48] 76561198036774377: Teleported to position <474.881287, 421.872620, 11194.063477>
[COT 2021-04-17 14:08:52] 76561198036774377: Entered the Free Camera
[COT 2021-04-17 14:13:17] 76561198036774377: Spawned Entity MVS Combat Shirt - Multicam Black (TacticalShirt_ColorBase<b445d670>, -1, 100) at <449.360016, 422.849091, 11169.594727>
[COT 2021-04-17 14:13:23] 76561198036774377: Spawned Entity MVS Combat Shirt - OD (TacticalShirt_ColorBase<b445fb00>, -1, 100) at <446.191193, 422.849091, 11168.862305>
[COT 2021-04-17 14:13:24] 76561198036774377: Spawned Entity MVS Combat Shirt - OD (TacticalShirt_ColorBase<b4463cd0>, -1, 100) at <446.191193, 422.849091, 11168.862305>
[COT 2021-04-17 14:13:24] 76561198036774377: Spawned Entity MVS Combat Shirt - OD (TacticalShirt_ColorBase<b4463580>, -1, 100) at <446.191193, 422.849091, 11168.862305>
[COT 2021-04-17 14:13:24] 76561198036774377: Spawned Entity MVS Combat Shirt - OD (TacticalShirt_ColorBase<b446f3a0>, -1, 100) at <446.191193, 422.849091, 11168.862305>
[COT 2021-04-17 14:13:24] 76561198036774377: Spawned Entity MVS Combat Shirt - OD (TacticalShirt_ColorBase<b4471830>, -1, 100) at <446.191193, 422.849091, 11168.862305>
[COT 2021-04-17 14:13:24] 76561198036774377: Spawned Entity MVS Combat Shirt - OD (TacticalShirt_ColorBase<b446aa80>, -1, 100) at <446.191193, 422.849091, 11168.862305>
[COT 2021-04-17 14:13:52] 76561198036774377: Spawned Entity MVS Admin Pouch - Black (MVS_Pouch_Base<e852f800>, -1, 100) at <449.049835, 422.849091, 11170.559570>
[COT 2021-04-17 14:13:52] 76561198036774377: Spawned Entity MVS Admin Pouch - Black (MVS_Pouch_Base<e4081a60>, -1, 100) at <449.049835, 422.849091, 11170.559570>
[COT 2021-04-17 14:13:52] 76561198036774377: Spawned Entity MVS Admin Pouch - Black (MVS_Pouch_Base<e59b5540>, -1, 100) at <449.049835, 422.849091, 11170.559570>
[COT 2021-04-17 14:13:53] 76561198036774377: Spawned Entity MVS Admin Pouch - Black (MVS_Pouch_Base<eae6a6a0>, -1, 100) at <449.049835, 422.849091, 11170.559570>
[COT 2021-04-17 14:13:53] 76561198036774377: Spawned Entity MVS Admin Pouch - Black (MVS_Pouch_Base<eae788a0>, -1, 100) at <449.049835, 422.849091, 11170.559570>
[COT 2021-04-17 14:13:53] 76561198036774377: Spawned Entity MVS Admin Pouch - Black (MVS_Pouch_Base<f1b20720>, -1, 100) at <449.049835, 422.849091, 11170.559570>
[COT 2021-04-17 14:13:58] 76561198036774377: Spawned Entity MVS Admin Pouch - OD (MVS_Pouch_Base<deca2ee0>, -1, 100) at <446.634766, 422.849091, 11168.645508>
[COT 2021-04-17 14:13:58] 76561198036774377: Spawned Entity MVS Admin Pouch - OD (MVS_Pouch_Base<dec93ec0>, -1, 100) at <446.634766, 422.849091, 11168.645508>
[COT 2021-04-17 14:13:59] 76561198036774377: Spawned Entity MVS Admin Pouch - OD (MVS_Pouch_Base<53a18d80>, -1, 100) at <446.634766, 422.849091, 11168.645508>
[COT 2021-04-17 14:13:59] 76561198036774377: Spawned Entity MVS Admin Pouch - OD (MVS_Pouch_Base<539f5170>, -1, 100) at <446.634766, 422.849091, 11168.645508>
[COT 2021-04-17 14:13:59] 76561198036774377: Spawned Entity MVS Admin Pouch - OD (MVS_Pouch_Base<e79f5390>, -1, 100) at <446.634766, 422.849091, 11168.645508>
[COT 2021-04-17 14:13:59] 76561198036774377: Spawned Entity MVS Admin Pouch - OD (MVS_Pouch_Base<eae643c0>, -1, 100) at <446.634766, 422.849091, 11168.645508>
[COT 2021-04-17 14:14:23] 76561198036774377: Spawned Entity 12ga Rubber Slugs (Ammunition_Base<b449c040>, 1, 100) at <447.476501, 422.849091, 11166.434570>
[COT 2021-04-17 14:14:23] 76561198036774377: Spawned Entity 12ga Rubber Slugs (Ammunition_Base<b4499bb0>, 1, 100) at <447.476501, 422.849091, 11166.434570>
[COT 2021-04-17 14:14:24] 76561198036774377: Spawned Entity 12ga Rubber Slugs (Ammunition_Base<b449a300>, 1, 100) at <447.476501, 422.849091, 11166.434570>
[COT 2021-04-17 14:14:24] 76561198036774377: Spawned Entity 12ga Rubber Slugs (Ammunition_Base<b4497720>, 1, 100) at <447.476501, 422.849091, 11166.434570>
[COT 2021-04-17 14:14:24] 76561198036774377: Spawned Entity 12ga Rubber Slugs (Ammunition_Base<b449aa50>, 1, 100) at <447.476501, 422.849091, 11166.434570>
[COT 2021-04-17 14:14:24] 76561198036774377: Spawned Entity 12ga Rubber Slugs (Ammunition_Base<3f80e240>, 1, 100) at <447.476501, 422.849091, 11166.434570>
