[COT 2021-03-19 22:06:38] 76561198036774377: Set GodMode To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-19 22:06:38] 76561198036774377: Set UnlimitedAmmo To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-19 22:06:38] 76561198036774377: Set UnlimitedStamina To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-19 23:10:34] 76561198036774377: Spawned Entity ToxicM18SmokeGrenade_Purple (ToxicM18SmokeGrenade_Purple<9cf6e480>, -1, 100) at <10386.549805, 6.183805, 1667.725098>
[COT 2021-03-19 23:10:35] 76561198036774377: Spawned Entity ToxicM18SmokeGrenade_Yellow (ToxicM18SmokeGrenade_Yellow<9cf76d90>, -1, 100) at <10386.549805, 6.183805, 1667.725098>
[COT 2021-03-19 23:10:36] 76561198036774377: Spawned Entity ToxicM18SmokeGrenade_Yellow (ToxicM18SmokeGrenade_Yellow<9cf73d30>, -1, 100) at <10386.549805, 6.183805, 1667.725098>
[COT 2021-03-19 23:10:36] 76561198036774377: Spawned Entity ToxicM18SmokeGrenade_Yellow (ToxicM18SmokeGrenade_Yellow<9cf74540>, -1, 100) at <10386.549805, 6.183805, 1667.725098>
[COT 2021-03-19 23:10:36] 76561198036774377: Spawned Entity ToxicM18SmokeGrenade_Yellow (ToxicM18SmokeGrenade_Yellow<9cf78dd0>, -1, 100) at <10386.549805, 6.183805, 1667.725098>
[COT 2021-03-19 23:10:36] 76561198036774377: Spawned Entity ToxicM18SmokeGrenade_Yellow (ToxicM18SmokeGrenade_Yellow<9cf795e0>, -1, 100) at <10386.549805, 6.183805, 1667.725098>
[COT 2021-03-19 23:10:38] 76561198036774377: Spawned Entity ToxicM18SmokeGrenade_White (ToxicM18SmokeGrenade_White<9cf775a0>, -1, 100) at <10386.549805, 6.183805, 1667.725098>
[COT 2021-03-19 23:10:38] 76561198036774377: Spawned Entity ToxicM18SmokeGrenade_White (ToxicM18SmokeGrenade_White<9cf72500>, -1, 100) at <10386.549805, 6.183805, 1667.725098>
[COT 2021-03-19 23:11:25] 76561198036774377: Spawned Entity MVS Rucksack - Snow (MountainBag_ColorBase<f49ce890>, -1, 300) at <10387.087891, 6.185032, 1667.914307>
[COT 2021-03-19 23:15:22] 76561198036774377: Spawned Entity TWP_KacPDW_mag_30Rnd (Mag_STANAG_30Rnd<da270a70>, 1, 100) at <10387.087891, 6.191796, 1667.914307>
[COT 2021-03-19 23:15:22] 76561198036774377: Spawned Entity TWP_KacPDW_mag_30Rnd (Mag_STANAG_30Rnd<e7f14d90>, 1, 100) at <10387.087891, 6.191796, 1667.914307>
[COT 2021-03-19 23:15:22] 76561198036774377: Spawned Entity TWP_KacPDW_mag_30Rnd (Mag_STANAG_30Rnd<e7f1e720>, 1, 100) at <10387.087891, 6.191796, 1667.914307>
[COT 2021-03-19 23:15:23] 76561198036774377: Spawned Entity TWP_KacPDW_mag_30Rnd (Mag_STANAG_30Rnd<e7d43e10>, 1, 100) at <10387.087891, 6.191796, 1667.914307>
[COT 2021-03-19 23:15:23] 76561198036774377: Spawned Entity TWP_KacPDW_mag_30Rnd (Mag_STANAG_30Rnd<e7d57880>, 1, 100) at <10387.087891, 6.191796, 1667.914307>
[COT 2021-03-19 23:15:23] 76561198036774377: Spawned Entity TWP_KacPDW_mag_30Rnd (Mag_STANAG_30Rnd<eaa21bd0>, 1, 100) at <10387.087891, 6.191796, 1667.914307>
[COT 2021-03-19 23:15:23] 76561198036774377: Spawned Entity TWP_KacPDW_mag_30Rnd (Mag_STANAG_30Rnd<eaa30d20>, 1, 100) at <10387.087891, 6.191796, 1667.914307>
[COT 2021-03-19 23:15:24] 76561198036774377: Spawned Entity TWP_KacPDW_mag_30Rnd (Mag_STANAG_30Rnd<cdb1f230>, 1, 100) at <10387.087891, 6.191796, 1667.914307>
[COT 2021-03-19 23:15:24] 76561198036774377: Spawned Entity TWP_KacPDW_mag_30Rnd (Mag_STANAG_30Rnd<cdb48450>, 1, 100) at <10387.087891, 6.191796, 1667.914307>
